Marca,Modelo,Año,Kilometraje,Transmision,Precio
honda,cr-v,2011,"84,000 km",Automática,13400000
honda,cr-v,2008,"177,000 km",Automática,10300000
honda,cr-v,2016,"101,000 km",Automática,17900000
honda,cr-v,2007,"280,000 km",Automática,6700000
honda,cr-v,2014,"145,000 km",Automática,13500000
honda,cr-v,2008,"216,000 km",Automática,7999990
honda,cr-v,2012,"93,000 km",Automática,12400000
honda,cr-v,2015,"122,685 km",Automática,13800000
honda,cr-v,2007,242 km,Automática,7000000
honda,cr-v,2014,"82,000 km",Automática,14590000
honda,cr-v,2019,"38,000 km",Automática,22490000
